mb_2016_code,year,median_price,sales_count,median_price_growth_yoy
10843520000,2023,1450000.0,5,54.26
10843530000,2009,601000.0,5,
10843540000,2007,585000.0,3,
10843540000,2013,715000.0,3,22.22
10843590000,2004,450000.0,3,
10843590000,2006,895000.0,4,98.89
10843590000,2007,510000.0,3,-43.02
10843590000,2017,1327500.0,4,160.29
10843600000,2007,535000.0,7,
10843600000,2009,696000.0,3,30.09
10843600000,2010,625000.0,3,-10.2
10843600000,2014,678000.0,6,8.48
10843600000,2017,2090000.0,11,208.26
10843600000,2019,1645000.0,3,-21.29
10843622000,2005,737000.0,4,
10843671000,2006,1750000.0,3,
10843680000,2003,483750.0,4,
10843680000,2008,565000.0,3,16.8
10843680000,2009,575000.0,3,1.77
10843741000,2011,1315000.0,4,
10844030000,2003,461500.0,6,
10844030000,2004,530000.0,3,14.84
10844030000,2005,570000.0,5,7.55
10844030000,2006,463500.0,4,-18.68
10844030000,2008,520000.0,5,12.19
10844030000,2009,522500.0,4,0.48
10844030000,2013,665000.0,5,27.27
10844030000,2021,1200000.0,3,80.45
10844070000,2007,505000.0,5,
10844070000,2017,890000.0,3,76.24
10844080000,2005,452000.0,3,
10844080000,2006,499000.0,3,10.4
10844091000,2022,2950000.0,3,
10844092000,2013,870000.0,3,
10844092000,2021,1437500.0,4,65.23
10844092000,2022,1500000.0,3,4.35
10844101000,2007,837500.0,4,
10844101000,2016,1150000.0,3,37.31
10844110000,2003,830000.0,3,
10844150000,2021,1579000.0,4,
10844170000,2007,310000.0,3,
10844181000,2005,750000.0,3,
10844200000,2005,970000.0,3,
10844210000,2003,900000.0,3,
10844220000,2007,1070000.0,3,
10844252000,2003,728000.0,3,
10844252000,2005,637000.0,3,-12.5
10844261000,2007,980000.0,3,
10844261000,2009,992500.0,4,1.28
10844270000,2005,1240000.0,3,
10844291000,2015,987500.0,4,
10844291000,2016,1100000.0,4,11.39
10844311000,2005,850000.0,3,
10844311000,2010,695000.0,4,-18.24
10844311000,2013,6132500.0,4,782.37
10844311000,2017,995000.0,3,-83.77
10844320000,2010,1435000.0,3,
10844400000,2003,146000.0,3,
10844400000,2006,140000.0,3,-4.11
10844400000,2007,143000.0,3,2.14
10844400000,2008,137000.0,6,-4.2
10844400000,2009,153000.0,3,11.68
10844400000,2011,150000.0,3,-1.96
10844400000,2018,280000.0,3,86.67
10844420000,2007,420000.0,3,
10844420000,2009,502000.0,3,19.52
10844450000,2005,444000.0,3,
10844450000,2007,585000.0,3,31.76
10844450000,2013,635000.0,3,8.55
10844460000,2005,319000.0,3,
10844460000,2007,450000.0,3,41.07
10844460000,2013,567500.0,3,26.11
10845640000,2009,786000.0,3,
10845640000,2016,2990500.0,4,280.47
10845640000,2017,2300000.0,5,-23.09
10846010000,2021,4640000.0,3,
10846020000,2013,1668777.0,4,
10846090000,2007,755000.0,4,
10846090000,2009,1037500.0,4,37.42
10846090000,2013,1850000.0,12,78.31
10846090000,2014,1622500.0,4,-12.3
10846090000,2022,3000000.0,3,84.9
10986080000,2004,2050000.0,4,
